Date,Branch,Customer_Type,Payment,Total
2024-06-12,B,Normal,E-wallet,323.12
2024-07-15,A,Normal,Cash,378.64
2024-10-28,A,Member,Cash,282.04
2024-09-12,A,Member,E-wallet,495.45
2024-07-10,A,Member,E-wallet,49.72
2024-08-02,A,Member,E-wallet,237.9
2024-05-21,A,Normal,Cash,80.35
2024-02-20,A,Member,Credit Card,197.22
2024-10-28,B,Member,Cash,373.76
2024-02-25,A,Member,Cash,181.73
2025-01-31,B,Normal,Credit Card,33.19
2024-08-29,B,Normal,Cash,137.68
2025-01-14,A,Member,E-wallet,364.27
2024-11-22,B,Member,E-wallet,335.67
2024-05-30,B,Member,Credit Card,367.96
2024-06-23,B,Member,Cash,123.15
2024-08-01,A,Normal,E-wallet,368.63
2024-04-12,A,Member,Credit Card,449.48
2024-02-19,B,Normal,Credit Card,278.15
2024-10-13,A,Normal,Cash,355.42
2024-04-01,A,Normal,E-wallet,341.64
2024-12-18,B,Normal,Cash,358.35
2024-07-12,B,Normal,Credit Card,246.97
2025-01-31,A,Normal,Credit Card,462.38
2024-03-30,B,Normal,Credit Card,219.45
2024-04-18,A,Member,Credit Card,44.28
2024-08-06,A,Normal,E-wallet,249.45
2024-11-21,B,Normal,Credit Card,63.56
2024-12-29,A,Member,Credit Card,96.39
2024-07-08,B,Member,Cash,489.45
2024-12-22,A,Member,Cash,335.41
2025-01-09,B,Normal,E-wallet,126.92
2024-06-23,A,Normal,Cash,74.83
2024-06-28,B,Normal,Credit Card,359.92
2024-07-29,A,Member,E-wallet,286.31
2024-11-20,A,Member,Cash,66.33
2024-05-22,A,Member,E-wallet,158.4
2024-09-17,A,Member,Credit Card,53.7
2024-04-05,B,Member,E-wallet,486.54
2024-11-30,A,Normal,Cash,419.11
2024-03-31,A,Member,Cash,318.14
2024-11-09,A,Normal,Cash,177.6
2024-06-20,B,Normal,Credit Card,53.11
2025-02-08,B,Member,E-wallet,483.14
2025-01-24,A,Member,Cash,275.38
2024-07-19,B,Member,Credit Card,123.04
2024-11-13,B,Member,E-wallet,402.92
2024-06-19,B,Normal,Cash,101.29
2024-03-19,A,Member,Cash,402.8
2025-01-07,A,Normal,Credit Card,347.92
2024-12-10,A,Normal,Credit Card,96.19
2024-04-14,A,Member,Credit Card,206.84
2024-06-13,B,Normal,E-wallet,441.11
2025-02-08,A,Member,Cash,496.83
2024-03-16,B,Normal,Cash,296.71
2024-03-26,B,Member,Credit Card,335.26
2024-05-30,A,Normal,Cash,270.57
2025-01-16,A,Member,Credit Card,15.43
2025-02-09,B,Normal,E-wallet,27.86
2024-10-10,A,Member,Credit Card,190.37
2024-10-06,A,Normal,Cash,245.69
2024-07-25,B,Member,E-wallet,353.37
2024-11-19,A,Normal,Credit Card,200.51
2024-03-17,A,Normal,E-wallet,111.9
2024-10-04,B,Member,Credit Card,334.4
2024-08-09,B,Normal,Credit Card,222.65
2024-10-16,A,Normal,Cash,405.67
2024-09-24,A,Normal,Cash,182.72
2024-06-19,A,Normal,E-wallet,265.4
2024-08-26,A,Member,Credit Card,406.44
